,Year,value,flood
527,2008-12-01,16.0,0
528,2009-01-01,8.0,0
529,2009-02-01,0.0,0
530,2009-03-01,1.0,0
531,2009-04-01,0.0,0
532,2009-05-01,27.0,0
533,2009-06-01,33.0,0
534,2009-07-01,48.0,0
535,2009-08-01,146.0,0
536,2009-09-01,139.0,0
537,2009-10-01,86.0,0
538,2009-11-01,450.0,0
539,2009-12-01,181.0,0
540,2010-01-01,2.0,0
541,2010-02-01,0.0,0
542,2010-03-01,0.0,0
543,2010-04-01,0.0,0
544,2010-05-01,160.0,0
545,2010-06-01,106.0,0
546,2010-07-01,269.0,0
547,2010-08-01,296.0,0
548,2010-09-01,160.0,0
549,2010-10-01,147.0,1
550,2010-11-01,180.0,0
551,2010-12-01,242.0,1
552,2011-01-01,2.0,0
553,2011-02-01,58.0,0
554,2011-03-01,0.0,0
555,2011-04-01,35.0,0
556,2011-05-01,24.0,0
557,2011-06-01,60.0,0
558,2011-07-01,85.0,0
559,2011-08-01,249.0,0
560,2011-09-01,147.0,0
561,2011-10-01,167.0,0
562,2011-11-01,394.0,0
563,2011-12-01,96.0,1
564,2012-01-01,10.2,0
565,2012-02-01,0.0,0
566,2012-03-01,0.2,0
567,2012-04-01,3.5,0
568,2012-05-01,11.1,0
569,2012-06-01,31.8,0
570,2012-07-01,119.6,0
571,2012-08-01,60.9,0
572,2012-09-01,146.3,0
573,2012-10-01,320.3,0
574,2012-11-01,103.9,0
575,2012-12-01,174.0,0
576,2013-01-01,0.0,0
577,2013-02-01,44.2,0
578,2013-03-01,22.7,0
579,2013-04-01,3.5,0
580,2013-05-01,1.4,0
581,2013-06-01,71.7,0
582,2013-07-01,145.9,0
583,2013-08-01,170.7,0
584,2013-09-01,241.8,0
585,2013-10-01,215.7,0
586,2013-11-01,119.8,0
587,2013-12-01,27.6,0
588,2014-01-01,0.0,0
589,2014-02-01,0.1,0
590,2014-03-01,0.0,0
591,2014-04-01,0.0,0
592,2014-05-01,17.5,0
593,2014-06-01,85.2,0
594,2014-07-01,101.3,0
595,2014-08-01,121.9,0
596,2014-09-01,136.1,0
597,2014-10-01,245.0,0
598,2014-11-01,191.5,0
599,2014-12-01,127.3,0
600,2015-01-01,1.4,0
601,2015-02-01,0.0,0
602,2015-03-01,0.5,0
603,2015-04-01,54.4,0
604,2015-05-01,24.5,0
605,2015-06-01,57.0,0
606,2015-07-01,163.2,0
607,2015-08-01,172.7,0
608,2015-09-01,88.3,0
609,2015-10-01,178.2,1
610,2015-11-01,995.6,0
611,2015-12-01,419.3,1
